coin_name,coin_symbol,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,price,volume_24h,volume7d,volume_7d
Bitcoin,BTC,1247480863731.4692,-1.00269656,0.42487682,-0.47567926,63117.341401723796,31552008477.18927,,211813812022.0923
Ethereum,ETH,293063415401.76843,-1.61139187,-0.71683423,-5.95775123,2434.503856307621,16138255784.952034,,101440957408.42249
BNB,BNB,83128598153.84068,-1.12677023,0.46422426,-0.34534698,569.6379602883634,1671819329.6269312,,12504959052.449635
XRP,XRP,30452696086.509285,-0.80739469,0.87033548,-13.54515685,0.538375549723452,1115692446.850556,,6877581127.08706
Dogecoin,DOGE,16133009335.575676,-1.79770947,-1.08151011,-6.51310356,0.11029533285123357,767913793.8070745,,4838218817.454044
Toncoin,TON,13244716255.029285,-1.66325115,-1.91927023,-10.5736424,5.222644867703958,188989855.68234783,,1280651637.584437
Cardano,ADA,12301462059.313269,-1.90189391,-0.61802493,-7.43146982,0.3518614793207679,236545612.6119069,,1690562761.2319171
Shiba Inu,SHIB,10478490244.874382,-2.42698956,-2.59089243,-0.16081535,1.77822314371636e-05,509258313.56212926,,3762273578.392928
NEAR Protocol,NEAR,6275146272.68032,-2.26162254,6.33137273,-5.0154311,5.171424240667724,366496489.9321492,,2402953028.218612
Polkadot,DOT,6265117229.845755,-1.53484811,-0.12388324,-8.08630993,4.1686485253505365,136425650.73846614,,868592296.138663
Dai,DAI,5364154955.146957,-0.0083267,-0.01281413,0.00410963,0.9997711724240463,88245247.88257161,,613073711.1188834
Bittensor,TAO,4557610607.5170965,-2.43554667,6.25719057,6.59229308,617.4840978863787,301797033.9935642,,1902444994.8570058
Aptos,APT,4449280324.089437,-4.65449271,1.19647255,12.41937883,8.844371539546486,338483512.432106,,1942299705.55486
Pepe,PEPE,4307465610.740003,-2.65476223,0.43582268,-5.30387326,1.0239051640507784e-05,1296960916.2184515,,8432397455.664162
Internet Computer,ICP,3887296941.0925665,-2.2778485,-2.64409482,-9.4636294,8.236957544267288,73513159.70146203,,515503952.2246905
POL (ex-MATIC),POL,2851457853.1406074,-1.60975715,-1.28318586,-5.82658605,0.3783635987510133,75923789.74867131,,491393430.63886625
Ethereum Classic,ETC,2779669744.107741,-1.48036297,-0.91096204,-5.27648966,18.649926064763577,97052948.9959676,,644650028.6804028
OKB,OKB,2507786691.9032784,-0.41123664,0.31922497,1.33323697,41.79644486505464,2333785.45728596,,15421439.30239612
Immutable,IMX,2429066184.157281,-3.77698964,-2.64149187,-12.26669166,1.5131545783046079,57352442.97135219,,314663366.00341064
Aave,AAVE,2211668887.246768,-2.16314188,-0.86025471,-5.07601297,147.92270310356898,200529479.99051005,,1319878754.7051332
Cronos,CRO,2099744403.8392894,-1.42732,-1.58909149,-6.0749066,0.07902224592157202,5776427.82550528,,35069145.63457445
Arbitrum,ARB,2012142430.987759,-1.87144045,-0.52324293,-9.45804685,0.5562878916481813,210338678.94607773,,1399723710.9924722
Cosmos,ATOM,1792995245.9609702,-1.84029471,-0.18446946,-5.26100865,4.586437379014731,99427958.93694453,,647361569.0148731
THORChain,RUNE,1760751996.718314,-0.98826977,6.69024316,1.87956588,5.22850769959375,207410999.79360119,,954276017.6793337
Popcat (SOL),POPCAT,1324432256.2863827,-2.4766547,-4.06934287,39.79900142,1.351498466590167,170789797.51594988,,1337735217.679998
Theta Network,THETA,1326005820.3033104,-1.52863581,-1.31868043,-7.06015207,1.3260058203033103,16232847.90745206,,104378038.77940018
Arweave,AR,1259293179.8098435,-2.32850278,-1.01200968,-17.98864133,19.18120150749316,47637420.8615311,,300856102.03874815
Maker,MKR,1224977753.8881636,-0.26291211,-4.49480043,-11.03019509,1401.148525321814,84577688.42151454,,343208501.5818044
MANTRA,OM,1201747595.5247843,-0.31008292,2.21427211,15.99661269,1.414697304100521,43855074.94269288,,295188879.0997488
Algorand,ALGO,1044309163.1918458,-1.99491411,-0.67659647,-7.5383969,0.12593010531083026,26902614.42696493,,205974224.22717604
Polygon,MATIC,1034858723.372651,-1.50060649,-1.2220526,-5.82719619,0.3782344176063074,35633320.50975804,,227077372.4843916
Ondo,ONDO,1003584731.5418344,-2.69142389,-2.19481786,-5.12334425,0.7221281719010194,295666952.5673893,,2030976134.1632762
JasmyCoin,JASMY,971004258.7706099,-2.24458225,-1.61229105,-11.39313464,0.019657946454434517,54358005.48208003,,407569052.1172784
KuCoin Token,KCS,960580095.5649854,-1.14990978,0.23741391,-0.91994261,7.977778083958225,610316.91232722,,3014506.81954663
BitTorrent [New],BTT,899489882.9956627,-0.84360229,-0.83121688,-1.8905792,9.289885884972356e-07,17292541.20533108,,117065411.89428537
Brett (Based),BRETT,886113681.0287825,-2.84359885,5.46118317,-5.06695313,0.08941398022310067,38912828.95776492,,252385709.0728733
Core,CORE,864876354.7182188,-1.5548238,1.78800475,-8.90383889,0.9464262576081838,29354851.87716622,,170860862.09122145
Wormhole,W,836545011.9736795,-2.91326119,-4.96722766,9.01959351,0.32450970983245175,146525062.61492524,,926827868.9746542
Quant,QNT,819733792.4064269,-1.46707541,-1.02964682,-8.23573981,67.89957608675239,10560080.95581271,,76358547.20798422
GateToken,GT,807819810.7365646,-0.14988093,2.45715393,2.13718532,8.877279768523763,3222717.04842355,,23544483.67435178
Beam,BEAM,775784263.2519405,-3.17710108,-3.80768875,-19.84163326,0.015683180323544352,20446859.65240204,,127371412.11382532
ORDI,ORDI,757630236.4758968,-2.46264642,-1.52518784,-5.59167512,36.07763030837604,151666038.3882197,,1062624629.2142274
Neo,NEO,723040768.8539423,-1.85381704,1.44387854,-6.08342211,10.250251650100953,27393103.75900362,,201915922.83180958
Axie Infinity,AXS,714221109.0389137,-2.00999583,0.38584227,-8.16918923,4.696955643869291,27313483.07018597,,180910584.9421844
MultiversX,EGLD,708874186.9751354,-1.5103812,-0.44603731,-7.66871586,25.875191905837564,16099872.57343371,,117174236.04548095
eCash,XEC,688215465.2100571,-1.60634504,-2.14335799,-0.59699385,3.4815875031510986e-05,12628497.48252849,,90167727.20108977
